time,event,name,value,t30s,sp,temp1,temp2,temp3,out1,out2,out3,out4
2023-12-8T04:42:10Z,delayed start,,,,,,,,,,,
2023-12-8T04:42:10Z,info,,,,,,,,,,,
,info,gain,18,,,,,,,,,
,info,TC type,Type K,,,,,,,,,
,info,TC1 offset,0,,,,,,,,,
,info,TC2 offset,0,,,,,,,,,
,info,TC3 offset,0,,,,,,,,,
,info,error codes,On,,,,,,,,,
,info,cost,0,,,,,,,,,
,info,board temp,62,,,,,,,,,
,info,fw,v11.0,,,,,,,,,
2023-12-8T04:42:10Z,program,,,,,,,,,,,
,program,name,CH-2160-5M,,,,,,,,,
,program,number,3,,,,,,,,,
,program,segments,6,,,,,,,,,
2023-12-8T04:42:10Z,start ramp,,,,,,,,,,,
,start ramp,segment,1,,,,,,,,,
,start ramp,rate,200,,,,,,,,,
,start ramp,temp,250,,,,,,,,,
,,,,0,53,46,63,53,1,1,2,0
2023-12-8T04:42:22Z,diagnostics,,,,,,,,,,,
,diagnostics,type,1,,,,,,,,,
,diagnostics,no load volts,252,,,,,,,,,
,diagnostics,full load volts,253,,,,,,,,,
,diagnostics,amps1,0,,,,,,,,,
,diagnostics,amps2,0,,,,,,,,,
,diagnostics,amps3,0,,,,,,,,,
,diagnostics,output 1 volts,18.33,,,,,,,,,
,diagnostics,output 2 volts,18.33,,,,,,,,,
,diagnostics,output 3 volts,18.33,,,,,,,,,
,diagnostics,safety volts,18.33,,,,,,,,,
,diagnostics,number of firings,7,,,,,,,,,
,,,,1,54,47,64,54,1,1,2,0
,,,,2,56,49,66,56,1,1,2,0
,,,,3,57,50,67,57,0,0,0,0
,,,,4,59,50,67,57,1,1,2,0
,,,,5,61,50,67,57,1,1,2,0
,,,,6,62,50,67,57,1,1,2,0
,,,,7,64,50,67,57,2,2,3,0
,,,,8,66,51,68,58,2,2,3,0
,,,,9,67,51,68,58,3,3,4,0
,,,,10,69,51,68,58,4,4,5,0
,,,,11,71,51,68,58,5,5,6,0
,,,,12,72,51,68,58,6,6,7,0
,,,,13,74,51,68,58,7,7,8,0
,,,,14,76,51,68,58,8,8,9,0
,,,,15,77,52,69,59,9,9,10,0
,,,,16,79,52,69,59,10,10,11,0
,,,,17,81,52,69,59,12,12,13,0
,,,,18,82,52,69,59,13,13,14,0
,,,,19,84,52,69,59,14,14,15,0
,,,,20,86,53,70,60,16,16,17,0
,,,,21,87,53,70,60,17,17,18,0
,,,,22,89,54,71,61,19,19,20,0
,,,,23,91,55,72,62,19,20,21,0
,,,,24,92,55,72,62,20,21,23,0
,,,,25,94,56,73,63,22,23,25,0
,,,,26,96,57,74,64,23,24,26,0
,,,,27,97,58,75,65,24,25,27,0
,,,,28,99,59,76,66,25,26,28,0
,,,,29,101,61,78,68,26,27,29,0
,,,,30,102,62,79,69,27,28,30,0
,,,,31,104,64,81,71,28,29,31,0
,,,,32,106,65,82,72,29,30,32,0
,,,,33,107,67,84,74,30,31,33,0
,,,,34,109,70,87,77,30,31,33,0
,,,,35,111,72,89,79,31,32,34,0
,,,,36,112,74,91,81,32,33,35,0
,,,,37,114,76,93,83,33,34,36,0
,,,,38,116,78,95,85,33,34,36,0
,,,,39,117,80,97,87,34,35,37,0
,,,,40,119,83,100,90,35,36,38,0
,,,,41,121,85,102,92,35,36,38,0
,,,,42,122,88,105,95,35,36,38,0
,,,,43,124,90,107,97,36,37,39,0
,,,,44,126,93,110,100,36,37,39,0
,,,,45,127,96,113,103,36,37,39,0
,,,,46,129,98,115,105,37,38,40,0
,,,,47,131,101,118,108,37,38,40,0
,,,,48,132,104,121,111,37,38,40,0
,,,,49,134,108,125,115,36,37,39,0
,,,,50,136,110,127,117,36,37,39,0
,,,,51,137,113,130,120,36,37,39,0
,,,,52,139,116,133,123,35,36,38,0
,,,,53,141,119,136,126,35,36,38,0
,,,,54,142,122,139,129,34,35,37,0
,,,,55,144,125,142,132,34,35,37,0
,,,,56,146,128,145,135,33,34,36,0
,,,,57,147,130,147,137,33,34,36,0
,,,,58,149,133,150,140,32,33,35,0
,,,,59,151,134,151,141,32,33,35,0
,,,,60,152,137,154,144,31,32,34,0
,,,,61,154,141,158,148,30,31,33,0
,,,,62,156,143,160,150,29,30,32,0
,,,,63,157,146,163,153,29,30,32,0
,,,,64,159,149,166,156,28,29,31,0
,,,,65,161,151,168,158,27,28,30,0
,,,,66,162,153,170,160,26,27,29,0
,,,,67,164,155,172,162,25,26,28,0
,,,,68,166,158,175,165,24,25,27,0
,,,,69,167,160,177,167,24,25,27,0
,,,,70,169,162,179,169,23,24,26,0
,,,,71,171,164,181,171,22,23,25,0
,,,,72,172,166,183,173,21,22,24,0
,,,,73,174,168,185,175,20,21,23,0
,,,,74,176,170,187,177,20,21,23,0
,,,,75,177,171,188,178,19,20,21,0
,,,,76,179,173,190,180,19,19,20,0
,,,,77,181,175,192,182,19,19,20,0
,,,,78,182,176,193,183,18,18,19,0
,,,,79,184,178,195,185,17,17,18,0
,,,,80,186,179,196,186,17,17,18,0
,,,,81,187,181,198,188,16,16,17,0
,,,,82,189,182,199,189,16,16,17,0
,,,,83,191,183,200,190,16,16,17,0
,,,,84,192,185,202,192,15,15,16,0
,,,,85,194,186,203,193,15,15,16,0
,,,,86,196,187,204,194,15,15,16,0
,,,,87,197,188,205,195,15,15,16,0
,,,,88,199,189,206,196,15,15,16,0
,,,,89,201,190,207,197,15,15,16,0
,,,,90,202,192,209,199,14,14,15,0
,,,,91,204,193,210,200,14,14,15,0
,,,,92,206,194,211,201,14,14,15,0
,,,,93,207,195,212,202,14,14,15,0
,,,,94,209,196,213,203,14,14,15,0
,,,,95,211,197,214,204,15,15,16,0
,,,,96,212,198,215,205,15,15,16,0
,,,,97,214,199,216,206,15,15,16,0
,,,,98,216,200,217,207,16,16,17,0
,,,,99,217,201,218,208,16,16,17,0
,,,,100,219,202,219,209,17,17,18,0
,,,,101,221,203,220,210,17,17,18,0
,,,,102,222,204,221,211,18,18,19,0
,,,,103,224,205,222,212,18,18,19,0
,,,,104,226,206,223,213,19,19,20,0
,,,,105,227,206,223,213,19,20,21,0
,,,,106,229,208,225,215,19,20,21,0
,,,,107,231,209,226,216,20,21,23,0
,,,,108,232,210,227,217,21,22,24,0
,,,,109,234,211,228,218,22,23,25,0
,,,,110,236,212,229,219,22,23,25,0
,,,,111,237,213,230,220,23,24,26,0
,,,,112,239,215,232,222,24,25,27,0
,,,,113,241,216,233,223,25,26,28,0
,,,,114,242,217,234,224,25,26,28,0
,,,,115,244,219,236,226,26,27,29,0
,,,,116,246,220,237,227,26,27,29,0
,,,,117,247,222,239,229,27,28,30,0
,,,,118,249,224,241,231,27,28,30,0
,,,,119,250,225,242,232,27,28,30,0
,,,,120,250,227,244,234,27,28,30,0
,,,,121,250,229,246,236,27,28,30,0
,,,,122,250,231,248,238,27,28,30,0
,,,,123,250,233,250,240,27,28,30,0
,,,,124,250,234,251,241,27,28,30,0
,,,,125,250,236,253,243,26,27,29,0
,,,,126,250,238,255,245,25,26,28,0
,,,,127,250,240,257,247,24,25,27,0
2023-12-8T05:45:55Z,start hold,,,,,,,,,,,
,start hold,segment,1,,,,,,,,,
,start hold,hold time,0h0m,,,,,,,,,
,start hold,temp,250,,,,,,,,,
2023-12-8T05:45:55Z,start ramp,,,,,,,,,,,
,start ramp,segment,2,,,,,,,,,
,start ramp,rate,400,,,,,,,,,
,start ramp,temp,1000,,,,,,,,,
,,,,128,249,241,258,248,25,26,28,0
,,,,129,253,243,260,250,25,26,28,0
,,,,130,256,245,262,252,25,26,28,0
,,,,131,259,246,263,253,25,26,28,0
,,,,132,263,248,265,255,25,26,28,0
,,,,133,266,250,267,257,25,26,28,0
,,,,134,269,252,269,259,26,27,29,0
,,,,135,273,253,270,260,26,27,29,0
,,,,136,276,255,272,262,27,28,30,0
,,,,137,279,257,274,264,28,29,31,0
,,,,138,283,259,276,266,29,30,32,0
,,,,139,286,260,277,267,29,30,32,0
,,,,140,289,263,280,270,30,31,33,0
,,,,141,292,264,281,271,31,32,34,0
,,,,142,296,266,283,273,33,34,36,0
,,,,143,299,268,285,275,34,35,37,0
,,,,144,302,271,288,278,35,36,38,0
,,,,145,306,273,290,280,36,37,39,0
,,,,146,309,275,292,282,38,39,41,0
,,,,147,312,277,294,284,38,40,42,0
,,,,148,316,280,297,287,40,42,45,0
,,,,149,319,283,300,290,41,43,46,0
,,,,150,322,285,302,292,43,45,48,0
,,,,151,326,289,306,296,44,46,49,0
,,,,152,329,292,309,299,45,47,50,0
,,,,153,332,295,312,302,46,48,51,0
,,,,154,336,298,315,305,48,50,53,0
,,,,155,339,302,319,309,49,51,54,0
,,,,156,342,305,322,312,50,52,55,0
,,,,157,346,309,326,316,51,53,56,0
,,,,158,349,312,329,319,52,54,57,0
,,,,159,352,316,333,323,52,54,57,0
,,,,160,356,320,337,327,53,55,58,0
,,,,161,359,325,342,332,53,55,58,0
,,,,162,362,329,346,336,54,56,59,0
,,,,163,366,334,351,341,54,56,59,0
,,,,164,369,338,355,345,54,56,59,0
,,,,165,372,342,359,349,54,56,59,0
,,,,166,376,346,363,353,54,56,59,0
,,,,167,379,350,367,357,54,56,59,0
,,,,168,382,356,373,363,52,54,57,0
,,,,169,386,360,377,367,52,54,57,0
,,,,170,389,364,381,371,52,54,57,0
,,,,171,392,368,385,375,52,54,57,0
,,,,172,396,372,389,379,52,54,57,0
,,,,173,399,375,392,382,52,54,57,0
,,,,174,402,379,396,386,51,53,56,0
,,,,175,406,383,400,390,51,53,56,0
,,,,176,409,387,404,394,51,53,56,0
,,,,177,412,390,407,397,51,53,56,0
,,,,178,416,394,411,401,50,52,55,0
,,,,179,419,397,414,404,50,52,55,0
,,,,180,422,401,418,408,50,52,55,0
,,,,181,426,404,421,411,50,52,55,0
,,,,182,429,408,425,415,49,51,54,0
,,,,183,432,411,428,418,49,51,54,0
,,,,184,436,415,432,422,49,51,54,0
,,,,185,439,419,436,426,49,51,54,0
,,,,186,442,422,439,429,49,51,54,0
,,,,187,446,425,442,432,49,51,54,0
,,,,188,449,429,446,436,49,51,54,0
,,,,189,452,432,449,439,49,51,54,0
,,,,190,456,435,452,442,49,51,54,0
,,,,191,459,439,456,446,49,51,54,0
,,,,192,462,442,459,449,49,51,54,0
,,,,193,466,445,462,452,49,51,54,0
,,,,194,469,448,465,455,49,51,54,0
,,,,195,472,451,468,458,49,51,54,0
,,,,196,476,455,472,462,49,51,54,0
,,,,197,479,458,475,465,49,51,54,0
,,,,198,482,461,478,468,49,51,54,0
,,,,199,486,464,481,471,49,51,54,0
,,,,200,489,468,485,475,50,52,55,0
,,,,201,492,471,488,478,50,52,55,0
,,,,202,496,475,492,482,50,52,55,0
,,,,203,499,478,495,485,49,51,54,0
,,,,204,502,481,498,488,50,52,55,0
,,,,205,506,485,502,492,49,51,54,0
,,,,206,509,488,505,495,50,52,55,0
,,,,207,512,491,508,498,50,52,55,0
,,,,208,516,494,511,501,50,52,55,0
,,,,209,519,497,514,504,50,52,55,0
,,,,210,522,501,518,508,50,52,55,0
,,,,211,526,504,521,511,50,52,55,0
,,,,212,529,507,524,514,51,53,56,0
,,,,213,532,510,527,517,51,53,56,0
,,,,214,536,514,531,521,51,53,56,0
,,,,215,539,517,534,524,51,53,56,0
,,,,216,542,520,537,527,52,54,57,0
,,,,217,546,523,540,530,52,54,57,0
,,,,218,549,527,544,534,52,54,57,0
,,,,219,552,530,547,537,52,54,57,0
,,,,220,555,533,550,540,52,54,57,0
,,,,221,559,537,554,544,52,54,57,0
,,,,222,562,540,557,547,52,54,57,0
,,,,223,565,543,560,550,53,55,58,0
